turma,aula_num,date,licao_conteudo,atividade_extra,habilidades
COMET,1,09/02/2026,Aula zero,Dinâmica uma verdade e duas mentiras,
COMET,2,11/02/2026,,,
COMET,3,23/02/2026,Lesson 1,Linha do tempo IA,
COMET,4,25/02/2026,Lesson 2,,inteligência emocional
COMET,5,02/03/2026,Revisão das duas lições anteriores,Roda de conversa empreendedorismo,empreendedorismo
COMET,6,04/03/2026,,,
COMET,7,09/03/2025,Lesson 3,,IA
COMET,8,11/03/2026,Lesson 4,What's missing?,inteligência emocional
COMET,9,16/03/2026,Lesson 5,,"Bárbara - Início do projeto ""Seeds of English""."
COMET,10,18/03/2026,Revisão workbook,What's missing?,empreendedorismo
COMET,11,23/03/2026,Lesson 6,,"Bárbara -  projeto ""Seeds of English""."
COMET,12,25/03/2026,Lesson 7,Popcorn day,inteligência emocional
COMET,13,30/03/2026,Aula Pokemon,Horta,"Bárbara -  projeto ""Seeds of English""."
COMET,14,01/04/2026,Lesson 8,Vídeo my daily routine,empreendedorismo
COMET,15,06/04/2026,Lesson 9,Revisão + workbook,
COMET,16,08/04/2026,Lesson 10,,inteligência emocional
COMET,17,13/04/2026,Lesson 11,Revisão + workbook,empreendedorismo
COMET,18,15/04/2026,Lesson 12,Reading test,
COMET,19,22/04/2026,Lesson 13,Campeonato,
COMET,20,27/04/2026,Lesson 14,movie,inteligencia emocional
COMET,21,29/04/2026,Revisao,Revisão + workbook,
COMET,22,04/05/2026,Lesson 15,IA,IA
STAR,1,10/02/2026,Aula 0 - Welcome class,,Inteligência emocional
STAR,2,12/02/2026,1,,Inteligência emocional
STAR,3,19/02/2026,2,"Head, sholders, knees and toes song",Inteligência emocional
STAR,4,24/02/2026,3,,Inteligência emocional
STAR,5,26/02/2026,4,Alphabet song,Inteligência emocional
STAR,6,03/03/2026,5,,Inteligência emocional
STAR,7,05/03/2025,Review,Folha de revisão,Inteligência emocional
STAR,8,10/03/2026,6,Game: can,Inteligência emocional
STAR,9,12/03/2026,7,,Inteligência emocional
STAR,10,17/03/2026,8,,"Início do projeto ""Seeds of English""."
STAR,11,19/03/2026,9,,Inteligência emocional
STAR,12,24/03/2026,10,,Seeds of English - Part II
STAR,13,26/03/2026,,Test,IA + Finanças
STAR,14,31/03/2026,11,,IA + Finanças
STAR,15,02/04/2026,,Easter,IA + Finanças até L3 (homework)
STAR,16,07/04/2026,12,,
STAR,17,09/04/2026,13 e 14,,
STAR,18,14/04/2026,15,,
STAR,19,16/04/2026,16,,
STAR,20,23/04/2026,17,,
STAR,21,28/04/2026,"18, 19",,
STAR,22,30/04/2026,20,,
STAR,23,05/05/2026,,Mother's day activity,
STAR,24,07/05/2026,,WH question words - practice class,
STAR,25,12/05/2026,21,,
STAR,26,14/05/2026,22,,
STAR,27,19/05/2026,23,,
STAR,28,21/05/2026,,Kahoot,
CLOUD,1,10/02/2026,Aula 0 - Welcome class,,Inteligência emocional
CLOUD,2,12/02/2026,Review + 31,,Inteligência emocional
CLOUD,3,19/02/2026,32,"Head, sholders, knees and toes song",Inteligência emocional
CLOUD,4,24/02/2026,33,,Inteligência emocional
CLOUD,5,26/02/2026,34,Alphabet song,Inteligência emocional
